x,y,success_rate,episodes,successes,approached,avg_height,avg_steps_success,ik_error
0.1000,0.0800,0.00,5,0,0,0.0000,0.0,37.41
0.1000,0.1550,0.00,5,0,0,0.0000,0.0,48.73
0.1000,0.2300,0.00,5,0,0,0.0000,0.0,47.34
0.1000,0.3050,0.00,5,0,0,0.0000,0.0,40.19
0.1000,0.3800,0.00,5,0,0,0.0000,0.0,34.37
0.1625,0.0800,0.00,5,0,0,0.0000,0.0,88.24
0.1625,0.1550,0.00,5,0,0,0.0000,0.0,37.50
0.1625,0.2300,0.00,5,0,0,0.0000,0.0,36.26
0.1625,0.3050,0.00,5,0,0,0.0000,0.0,33.11
0.1625,0.3800,0.00,5,0,5,0.0095,0.0,29.63
0.2250,0.0800,0.00,5,0,5,0.0095,0.0,16.85
0.2250,0.1550,0.00,5,0,5,0.0143,0.0,24.62
0.2250,0.2300,0.00,5,0,5,0.0095,0.0,27.11
0.2250,0.3050,0.00,5,0,5,0.0095,0.0,26.61
0.2250,0.3800,0.00,5,0,5,0.0095,0.0,25.00
0.2875,0.0800,0.00,5,0,5,0.0095,0.0,10.44
0.2875,0.1550,0.00,5,0,5,0.0124,0.0,17.09
0.2875,0.2300,1.00,5,5,5,0.0535,51.0,20.32
0.2875,0.3050,0.00,5,0,5,0.0095,0.0,21.21
0.2875,0.3800,0.00,5,0,5,0.0095,0.0,25.87
0.3500,0.0800,0.00,5,0,5,0.0095,0.0,7.17
0.3500,0.1550,0.00,5,0,5,0.0095,0.0,12.31
0.3500,0.2300,0.00,5,0,5,0.0186,0.0,15.45
0.3500,0.3050,0.00,5,0,5,0.0095,0.0,16.94
0.3500,0.3800,0.00,5,0,0,0.0000,0.0,54.89
