x,y,success_rate,episodes,successes,approach_failures,avg_height
0.1000,0.0800,0.00,5,0,5,0.0095
0.1000,0.1550,0.00,5,0,5,0.0095
0.1000,0.2300,0.00,5,0,5,0.0095
0.1000,0.3050,0.00,5,0,5,0.0095
0.1000,0.3800,0.00,5,0,5,0.0095
0.1625,0.0800,0.00,5,0,5,0.0095
0.1625,0.1550,0.00,5,0,5,0.0095
0.1625,0.2300,0.00,5,0,0,0.0280
0.1625,0.3050,0.00,5,0,5,0.0095
0.1625,0.3800,0.00,5,0,5,0.0095
0.2250,0.0800,0.00,5,0,5,0.0095
0.2250,0.1550,0.00,5,0,0,0.0199
0.2250,0.2300,0.00,5,0,0,0.0285
0.2250,0.3050,0.00,5,0,5,0.0095
0.2250,0.3800,0.00,5,0,5,0.0095
0.2875,0.0800,0.00,5,0,0,0.0199
0.2875,0.1550,1.00,5,5,0,0.0141
0.2875,0.2300,1.00,5,5,0,0.0095
0.2875,0.3050,0.00,5,0,5,0.0095
0.2875,0.3800,0.00,5,0,5,0.0095
0.3500,0.0800,1.00,5,5,0,0.0124
0.3500,0.1550,1.00,5,5,0,0.0739
0.3500,0.2300,0.00,5,0,5,0.0095
0.3500,0.3050,0.00,5,0,5,0.0095
0.3500,0.3800,0.00,5,0,5,0.0095
