x,y,success_rate,episodes,successes,avg_height,config_source_x,config_source_y,ee_block_dist
0.1000,0.0800,0.00,5,0,0.0095,0.1630,0.1550,0.1315
0.1000,0.1550,0.00,5,0,0.0095,0.1630,0.1550,0.1195
0.1000,0.2300,0.00,5,0,0.0095,0.2870,0.2300,0.1300
0.1000,0.3050,0.00,5,0,0.0095,0.2870,0.2300,0.1568
0.1000,0.3800,0.00,5,0,0.0095,0.2870,0.2300,0.2087
0.1625,0.0800,0.00,5,0,0.0095,0.1630,0.1550,0.0801
0.1625,0.1550,0.00,5,0,0.0114,0.1630,0.1550,0.0584
0.1625,0.2300,0.00,5,0,0.0126,0.2870,0.2300,0.0682
0.1625,0.3050,1.00,5,5,0.0545,0.2870,0.2300,0.1111
0.1625,0.3800,0.00,5,0,0.0095,0.2870,0.2300,0.1769
0.2250,0.0800,1.00,5,5,0.0509,0.2250,0.1550,0.0275
0.2250,0.1550,1.00,5,5,0.0518,0.2250,0.2300,0.0161
0.2250,0.2300,1.00,5,5,0.0606,0.2870,0.2300,0.0144
0.2250,0.3050,1.00,5,5,0.0576,0.2870,0.2300,0.0889
0.2250,0.3800,0.00,5,0,0.0095,0.2870,0.2300,0.1638
0.2875,0.0800,1.00,5,5,0.0615,0.3500,0.0800,0.0432
0.2875,0.1550,0.00,5,0,0.0095,0.3500,0.1550,0.0070
0.2875,0.2300,0.00,5,0,0.0095,0.2870,0.2300,0.0598
0.2875,0.3050,0.00,5,0,0.0095,0.2870,0.2300,0.1061
0.2875,0.3800,0.00,5,0,0.0095,0.2870,0.2300,0.1738
0.3500,0.0800,1.00,5,5,0.0556,0.3500,0.0800,0.0592
0.3500,0.1550,0.00,5,0,0.0115,0.3500,0.1550,0.0563
0.3500,0.2300,0.00,5,0,0.0095,0.3500,0.1550,0.0913
0.3500,0.3050,0.00,5,0,0.0095,0.2870,0.2300,0.1498
0.3500,0.3800,0.00,5,0,0.0095,0.2870,0.2300,0.2034
