x,y,success_rate,episodes,successes
0.1000,0.0800,0.00,5,0
0.1000,0.1300,0.00,5,0
0.1000,0.1800,0.00,5,0
0.1000,0.2300,0.00,5,0
0.1000,0.2800,0.00,5,0
0.1000,0.3300,0.00,5,0
0.1000,0.3800,0.00,5,0
0.1417,0.0800,0.00,5,0
0.1417,0.1300,0.00,5,0
0.1417,0.1800,0.20,5,1
0.1417,0.2300,0.00,5,0
0.1417,0.2800,0.20,5,1
0.1417,0.3300,0.00,5,0
0.1417,0.3800,0.00,5,0
0.1833,0.0800,0.00,5,0
0.1833,0.1300,0.00,5,0
0.1833,0.1800,0.40,5,2
0.1833,0.2300,0.60,5,3
0.1833,0.2800,0.80,5,4
0.1833,0.3300,0.00,5,0
0.1833,0.3800,0.00,5,0
0.2250,0.0800,0.00,5,0
0.2250,0.1300,0.00,5,0
0.2250,0.1800,0.80,5,4
0.2250,0.2300,0.80,5,4
0.2250,0.2800,1.00,5,5
0.2250,0.3300,0.00,5,0
0.2250,0.3800,0.00,5,0
0.2667,0.0800,0.00,5,0
0.2667,0.1300,0.00,5,0
0.2667,0.1800,0.80,5,4
0.2667,0.2300,1.00,5,5
0.2667,0.2800,0.60,5,3
0.2667,0.3300,0.00,5,0
0.2667,0.3800,0.00,5,0
0.3083,0.0800,0.00,5,0
0.3083,0.1300,0.20,5,1
0.3083,0.1800,0.60,5,3
0.3083,0.2300,0.80,5,4
0.3083,0.2800,0.00,5,0
0.3083,0.3300,0.00,5,0
0.3083,0.3800,0.00,5,0
0.3500,0.0800,0.00,5,0
0.3500,0.1300,0.20,5,1
0.3500,0.1800,0.00,5,0
0.3500,0.2300,0.00,5,0
0.3500,0.2800,0.00,5,0
0.3500,0.3300,0.00,5,0
0.3500,0.3800,0.00,5,0
